Iterations;Evaluations;cost;solution
0;0;1518;29 28 30 2 20 32 6 48 38 24 45 7 34 35 43 0 23 37 50 19 47 39 9 27 16 36 12 40 26 10 25 11 21 49 46 22 15 3 41 18 14 44 1 31 42 8 5 13 17 33 4 29
1;20;1485;28 30 2 32 48 24 7 35 43 0 23 39 27 20 49 34 38 8 12 19 47 29 17 45 44 15 10 6 42 4 33 13 5 31 1 14 18 41 3 46 21 25 26 40 36 16 9 37 11 22 50 28
2;40;1424;29 28 30 2 6 48 20 49 34 38 8 12 9 16 36 40 26 10 25 21 46 15 3 43 32 44 1 31 42 5 13 17 33 7 4 18 14 41 39 47 19 23 0 35 45 24 27 37 11 22 50 29
3;60;1362;29 28 30 2 6 42 5 13 17 33 7 4 39 19 47 23 0 35 45 24 48 31 1 44 32 43 14 18 41 3 15 46 21 25 10 26 40 36 16 9 12 8 38 34 49 20 27 37 11 22 50 29
4;80;1322;28 30 2 6 42 5 13 17 40 26 10 25 21 46 15 3 41 18 14 43 32 44 1 31 48 24 45 35 0 23 47 19 39 4 7 33 29 36 16 9 12 8 38 34 49 20 27 37 11 22 50 28
5;100;1305;28 30 2 6 7 39 42 5 13 17 33 29 4 19 21 46 15 3 41 18 14 43 32 44 1 31 48 24 45 35 0 23 47 25 10 26 40 36 16 9 12 8 38 34 49 20 27 37 11 22 50 28
6;120;1272;28 30 2 6 7 39 42 5 13 17 33 29 19 21 46 15 3 41 18 14 43 32 44 1 31 27 20 49 34 38 8 12 9 16 36 40 26 10 25 47 23 0 35 45 24 48 37 11 22 50 4 28
7;140;1242;28 30 2 6 7 39 42 5 13 17 33 29 44 32 43 14 18 41 3 15 46 21 19 1 31 26 10 25 47 23 0 35 45 24 48 4 40 36 16 9 12 8 38 34 49 20 27 37 11 22 50 28
8;160;1210;28 7 39 13 17 12 8 38 34 49 20 27 18 41 3 15 35 0 23 47 5 42 6 2 30 25 21 46 45 19 29 33 9 16 36 40 26 10 31 1 44 32 43 14 24 48 37 11 22 4 50 28
9;180;1199;17 13 5 42 39 7 6 2 30 28 33 29 44 32 43 14 18 41 3 15 46 21 19 1 31 26 10 25 47 23 0 35 45 24 48 4 40 36 16 9 12 8 38 34 49 20 27 37 11 22 50 17
10;200;1182;28 7 39 13 17 12 8 38 34 49 20 27 18 41 3 15 35 0 23 47 5 42 6 2 30 25 21 4 22 11 37 48 24 14 43 16 36 40 26 10 31 1 44 32 9 33 29 19 45 46 50 28
12;240;1136;28 7 39 13 17 50 22 11 37 27 20 49 34 38 8 9 16 36 40 26 10 31 1 44 32 43 14 24 48 4 12 18 41 3 15 35 0 23 47 5 42 6 2 30 25 21 46 45 19 29 33 28
16;320;1129;28 39 18 41 3 15 35 0 7 30 25 21 46 45 12 14 43 32 44 1 31 8 9 36 40 26 10 38 16 34 49 20 27 33 29 19 2 6 42 5 47 23 17 13 24 48 37 11 22 4 50 28
18;360;1111;28 2 6 42 5 47 19 33 29 39 12 14 43 32 44 1 31 10 26 22 11 37 48 24 45 46 21 25 30 7 0 35 15 3 41 18 13 17 23 27 20 49 34 36 40 4 38 8 9 16 50 28
