solution;cost;instance;date;pop_size;offspring_size;pselection_type;crossover_type;mutation_type;mutation_prob;selection_strategy;gselection_type;seed;move;max_evaluations;max_iterations;max_time;initial_solution
6 12 2 1 7 0 9 10 8 13 3 4 5 11 6;3882;instances/burma14.tsp;2021-09-24 19:11:14.665335;10;20;TOURNAMENT;OPX;TWO_OPT;1.0;MUPLUSLAMBDA;TOURNAMENT;1632521474629;SWAP;1000;20;3.0;DETERMINISTIC
10 9 8 7 0 1 2 3 4 11 5 6 13 12 10;3572;instances/burma14.tsp;2021-09-24 19:12:18.241627;10;20;TOURNAMENT;OPX;TWO_OPT;1.0;MUPLUSLAMBDA;TOURNAMENT;1632521538181;SWAP;1000;20;3.0;DETERMINISTIC
6 11 5 4 3 2 13 7 0 8 10 9 1 12 6;3539;instances/burma14.tsp;2021-09-24 19:12:22.160669;10;20;TOURNAMENT;OPX;TWO_OPT;1.0;MUPLUSLAMBDA;TOURNAMENT;1632521542114;SWAP;1000;20;3.0;DETERMINISTIC
3 2 1 0 7 8 9 10 12 6 4 5 11 13 3;3585;instances/burma14.tsp;2021-09-24 19:12:23.422129;10;20;TOURNAMENT;OPX;TWO_OPT;1.0;MUPLUSLAMBDA;TOURNAMENT;1632521543383;SWAP;1000;20;3.0;DETERMINISTIC
1 2 3 4 5 11 6 12 13 10 8 9 7 0 1;3567;instances/burma14.tsp;2021-09-24 19:12:24.595948;10;20;TOURNAMENT;OPX;TWO_OPT;1.0;MUPLUSLAMBDA;TOURNAMENT;1632521544561;SWAP;1000;20;3.0;DETERMINISTIC
2 3 4 5 11 6 12 0 8 10 7 9 1 13 2;3636;instances/burma14.tsp;2021-09-24 19:12:25.555115;10;20;TOURNAMENT;OPX;TWO_OPT;1.0;MUPLUSLAMBDA;TOURNAMENT;1632521545520;SWAP;1000;20;3.0;DETERMINISTIC
10 7 0 2 3 11 4 5 12 6 13 1 8 9 10;4000;instances/burma14.tsp;2021-09-24 19:12:26.509056;10;20;TOURNAMENT;OPX;TWO_OPT;1.0;MUPLUSLAMBDA;TOURNAMENT;1632521546467;SWAP;1000;20;3.0;DETERMINISTIC
11 5 6 12 10 8 9 7 0 1 13 2 3 4 11;3359;instances/burma14.tsp;2021-09-24 19:12:27.305417;10;20;TOURNAMENT;OPX;TWO_OPT;1.0;MUPLUSLAMBDA;TOURNAMENT;1632521547271;SWAP;1000;20;3.0;DETERMINISTIC
4 11 5 6 12 10 8 9 0 7 1 13 2 3 4;3369;instances/burma14.tsp;2021-09-24 19:12:47.820948;10;20;TOURNAMENT;OPX;TWO_OPT;1.0;MUPLUSLAMBDA;TOURNAMENT;1632521567785;SWAP;1000;20;3.0;DETERMINISTIC
8 9 7 12 6 13 2 3 4 5 11 1 0 10 8;3655;instances/burma14.tsp;2021-09-24 19:12:52.395976;10;20;TOURNAMENT;OPX;TWO_OPT;1.0;MUPLUSLAMBDA;TOURNAMENT;1632521572361;SWAP;1000;20;3.0;DETERMINISTIC
9 10 8 0 7 13 2 3 4 11 5 6 12 1 9;3562;instances/burma14.tsp;2021-09-24 19:13:32.993921;10;20;TOURNAMENT;OPX;TWO_OPT;1.0;MUPLUSLAMBDA;TOURNAMENT;1632521612952;SWAP;1000;20;3.0;DETERMINISTIC
8 10 6 4 5 11 3 13 2 12 7 1 0 9 8;3921;instances/burma14.tsp;2021-09-24 19:13:44.685534;10;20;TOURNAMENT;OPX;TWO_OPT;1.0;MUPLUSLAMBDA;TOURNAMENT;1632521624645;SWAP;1000;20;3.0;DETERMINISTIC
11 5 6 12 10 8 9 7 0 1 13 2 3 4 11;3359;instances/burma14.tsp;2021-09-24 19:13:52.704532;10;20;TOURNAMENT;OPX;TWO_OPT;1.0;MUPLUSLAMBDA;TOURNAMENT;1632521632658;SWAP;1000;20;3.0;DETERMINISTIC
3 2 13 1 10 9 0 8 7 12 6 11 5 4 3;3660;instances/burma14.tsp;2021-09-24 19:14:28.816570;10;20;TOURNAMENT;OPX;TWO_OPT;1.0;MUPLUSLAMBDA;TOURNAMENT;1632521668781;SWAP;1000;20;3.0;DETERMINISTIC
