solution;cost;instance;date;alpha;t0;tmin;cooling;seed;move;max_evaluations;max_time;initial_solution
0 7 10 8 9 1 13 2 3 11 5 6 12 4 0;4048;instances/burma14.tsp;2021-09-16 17:29:24.109679;0.98;1000.0;500.0;LINEAR;1631824163960;SWAP;1000;100.0;NEAREST_N
0 7 10 8 9 1 13 2 3 11 5 6 12 4 0;4048;instances/burma14.tsp;2021-09-16 22:02:30.956980;0.98;1000.0;500.0;LINEAR;1631840550889;SWAP;1000;100.0;NEAREST_N
0 7 10 8 9 1 13 2 3 11 5 6 12 4 0;4048;instances/burma14.tsp;2021-09-16 22:02:32.433481;0.98;1000.0;500.0;LINEAR;1631840552379;SWAP;1000;100.0;NEAREST_N
0 7 10 8 9 1 13 2 3 11 5 6 12 4 0;4048;instances/burma14.tsp;2021-09-16 22:02:33.130168;0.98;1000.0;500.0;LINEAR;1631840553076;SWAP;1000;100.0;NEAREST_N
0 7 10 8 9 1 13 2 3 11 5 6 12 4 0;4048;instances/burma14.tsp;2021-09-16 22:02:33.786624;0.98;1000.0;500.0;LINEAR;1631840553732;SWAP;1000;100.0;NEAREST_N
4 5 11 13 12 6 9 8 10 7 0 1 2 3 4;3645;instances/burma14.tsp;2021-09-16 22:02:34.378462;0.98;1000.0;500.0;LINEAR;1631840554321;SWAP;1000;100.0;NEAREST_N
4 5 11 12 1 0 7 8 9 10 13 2 3 6 4;3970;instances/burma14.tsp;2021-09-16 22:02:35.276057;0.98;1000.0;500.0;LINEAR;1631840555219;SWAP;1000;100.0;NEAREST_N
0 7 10 8 9 1 13 2 3 11 5 6 12 4 0;4048;instances/burma14.tsp;2021-09-16 22:02:36.719655;0.98;1000.0;500.0;LINEAR;1631840556669;SWAP;1000;100.0;NEAREST_N
13 7 10 8 9 1 0 2 3 5 4 6 12 11 13;4037;instances/burma14.tsp;2021-09-16 22:02:43.589567;0.98;1000.0;500.0;LINEAR;1631840563523;SWAP;1000;100.0;NEAREST_N
0 7 10 8 9 1 13 2 3 11 5 6 12 4 0;4048;instances/burma14.tsp;2021-09-16 22:02:44.506702;0.98;1000.0;500.0;LINEAR;1631840564454;SWAP;1000;100.0;NEAREST_N
0 7 10 8 9 1 13 2 3 11 5 6 4 12 0;3814;instances/burma14.tsp;2021-09-16 22:02:45.234870;0.98;1000.0;500.0;LINEAR;1631840565179;SWAP;1000;100.0;NEAREST_N
0 7 10 8 9 1 13 2 3 11 5 6 12 4 0;4048;instances/burma14.tsp;2021-09-16 22:02:49.403055;0.98;1000.0;500.0;LINEAR;1631840569346;SWAP;1000;100.0;NEAREST_N
0 7 10 8 9 1 2 6 3 4 5 11 13 12 0;3990;instances/burma14.tsp;2021-09-16 22:02:50.290085;0.98;1000.0;500.0;LINEAR;1631840570236;SWAP;1000;100.0;NEAREST_N
0 7 10 8 9 1 13 2 3 11 5 6 12 4 0;4048;instances/burma14.tsp;2021-09-16 22:04:31.379594;0.98;1000.0;500.0;LINEAR;1631840671322;SWAP;1000;100.0;NEAREST_N
0 7 10 8 9 11 13 2 3 4 5 6 12 1 0;3894;instances/burma14.tsp;2021-09-16 22:04:32.252536;0.98;1000.0;500.0;LINEAR;1631840672196;SWAP;1000;100.0;NEAREST_N
0 7 10 8 9 1 13 2 3 11 5 6 12 4 0;4048;instances/burma14.tsp;2021-09-16 22:04:32.870151;0.98;1000.0;500.0;LINEAR;1631840672820;SWAP;1000;100.0;NEAREST_N
0 7 10 8 9 1 13 2 3 11 5 6 12 4 0;4048;instances/burma14.tsp;2021-09-16 22:04:33.386918;0.98;1000.0;500.0;LINEAR;1631840673330;SWAP;1000;100.0;NEAREST_N
0 7 10 8 9 1 13 2 3 11 5 6 12 4 0;4048;instances/burma14.tsp;2021-09-16 22:04:33.881579;0.98;1000.0;500.0;LINEAR;1631840673827;SWAP;1000;100.0;NEAREST_N
12 6 13 11 5 4 3 2 1 9 7 8 10 0 12;3779;instances/burma14.tsp;2021-09-16 22:04:34.359571;0.98;1000.0;500.0;LINEAR;1631840674304;SWAP;1000;100.0;NEAREST_N
0 7 10 8 9 1 13 2 3 4 5 6 12 11 0;3902;instances/burma14.tsp;2021-09-16 22:04:34.812945;0.98;1000.0;500.0;LINEAR;1631840674759;SWAP;1000;100.0;NEAREST_N
7 0 10 8 9 1 13 2 3 11 5 6 12 4 7;4008;instances/burma14.tsp;2021-09-16 22:04:35.403621;0.98;1000.0;500.0;LINEAR;1631840675351;SWAP;1000;100.0;NEAREST_N
0 7 10 8 9 1 13 2 3 11 5 12 6 4 0;4043;instances/burma14.tsp;2021-09-16 22:04:35.879568;0.98;1000.0;500.0;LINEAR;1631840675824;SWAP;1000;100.0;NEAREST_N
0 7 10 8 9 1 13 2 3 11 5 6 12 4 0;4048;instances/burma14.tsp;2021-09-16 22:04:36.537192;0.98;1000.0;500.0;LINEAR;1631840676488;SWAP;1000;100.0;NEAREST_N
0 7 10 8 9 1 13 2 3 11 5 6 12 4 0;4048;instances/burma14.tsp;2021-09-16 22:04:37.197265;0.98;1000.0;500.0;LINEAR;1631840677145;SWAP;1000;100.0;NEAREST_N
0 7 10 8 9 1 13 2 3 11 5 6 12 4 0;4048;instances/burma14.tsp;2021-09-16 22:04:37.827922;0.98;1000.0;500.0;LINEAR;1631840677772;SWAP;1000;100.0;NEAREST_N
0 7 10 8 9 1 13 2 3 11 5 6 12 4 0;4048;instances/burma14.tsp;2021-09-16 22:04:38.505152;0.98;1000.0;500.0;LINEAR;1631840678450;SWAP;1000;100.0;NEAREST_N
0 1 10 8 9 7 13 2 3 11 5 6 4 12 0;3980;instances/burma14.tsp;2021-09-16 22:04:39.077163;0.98;1000.0;500.0;LINEAR;1631840679021;SWAP;1000;100.0;NEAREST_N
0 7 10 8 9 1 13 2 3 11 5 6 12 4 0;4048;instances/burma14.tsp;2021-09-16 22:04:39.657266;0.98;1000.0;500.0;LINEAR;1631840679607;SWAP;1000;100.0;NEAREST_N
0 7 10 8 9 1 13 2 3 11 5 6 4 12 0;3814;instances/burma14.tsp;2021-09-16 22:04:40.365490;0.98;1000.0;500.0;LINEAR;1631840680309;SWAP;1000;100.0;NEAREST_N
0 7 10 8 9 1 13 2 3 11 5 6 12 4 0;4048;instances/burma14.tsp;2021-09-16 22:04:41.745788;0.98;1000.0;500.0;LINEAR;1631840681693;SWAP;1000;100.0;NEAREST_N
0 7 10 8 9 1 13 2 3 11 5 6 12 4 0;4048;instances/burma14.tsp;2021-09-16 22:04:42.457537;0.98;1000.0;500.0;LINEAR;1631840682406;SWAP;1000;100.0;NEAREST_N
0 7 10 8 9 1 13 2 3 11 5 6 12 4 0;4048;instances/burma14.tsp;2021-09-16 22:04:43.085388;0.98;1000.0;500.0;LINEAR;1631840683029;SWAP;1000;100.0;NEAREST_N
0 7 10 8 9 1 13 2 3 11 5 6 12 4 0;4048;instances/burma14.tsp;2021-09-16 22:04:43.537461;0.98;1000.0;500.0;LINEAR;1631840683482;SWAP;1000;100.0;NEAREST_N
0 10 8 9 1 2 3 5 4 11 12 6 13 7 0;3805;instances/burma14.tsp;2021-09-16 22:04:43.950395;0.98;1000.0;500.0;LINEAR;1631840683893;SWAP;1000;100.0;NEAREST_N
0 7 10 8 9 1 13 2 3 11 5 6 12 4 0;4048;instances/burma14.tsp;2021-09-16 22:04:44.286748;0.98;1000.0;500.0;LINEAR;1631840684234;SWAP;1000;100.0;NEAREST_N
0 7 10 8 9 1 13 2 3 11 5 6 12 4 0;4048;instances/burma14.tsp;2021-09-16 22:04:45.196217;0.98;1000.0;500.0;LINEAR;1631840685142;SWAP;1000;100.0;NEAREST_N
0 7 10 8 9 1 13 2 3 11 5 6 12 4 0;4048;instances/burma14.tsp;2021-09-16 22:04:45.751870;0.98;1000.0;500.0;LINEAR;1631840685696;SWAP;1000;100.0;NEAREST_N
0 7 10 8 9 1 13 2 3 11 5 6 12 4 0;4048;instances/burma14.tsp;2021-09-16 22:04:46.351342;0.98;1000.0;500.0;LINEAR;1631840686294;SWAP;1000;100.0;NEAREST_N
0 7 10 8 9 1 13 2 3 11 5 6 12 4 0;4048;instances/burma14.tsp;2021-09-16 22:04:46.829886;0.98;1000.0;500.0;LINEAR;1631840686771;SWAP;1000;100.0;NEAREST_N
0 7 10 8 9 1 13 2 3 11 5 6 12 4 0;4048;instances/burma14.tsp;2021-09-16 22:04:47.347547;0.98;1000.0;500.0;LINEAR;1631840687293;SWAP;1000;100.0;NEAREST_N
0 7 10 8 9 1 13 2 3 11 5 6 12 4 0;4048;instances/burma14.tsp;2021-09-16 22:04:47.740067;0.98;1000.0;500.0;LINEAR;1631840687689;SWAP;1000;100.0;NEAREST_N
0 7 10 8 9 1 13 2 3 11 5 6 12 4 0;4048;instances/burma14.tsp;2021-09-16 22:04:48.146365;0.98;1000.0;500.0;LINEAR;1631840688095;SWAP;1000;100.0;NEAREST_N
0 7 10 8 9 1 13 2 3 11 5 12 6 4 0;4043;instances/burma14.tsp;2021-09-16 22:04:48.476830;0.98;1000.0;500.0;LINEAR;1631840688424;SWAP;1000;100.0;NEAREST_N
0 7 10 8 9 1 13 2 3 11 5 6 12 4 0;4048;instances/burma14.tsp;2021-09-16 22:04:48.827443;0.98;1000.0;500.0;LINEAR;1631840688768;SWAP;1000;100.0;NEAREST_N
0 7 10 8 9 1 13 2 3 11 5 6 12 4 0;4048;instances/burma14.tsp;2021-09-16 22:04:50.382598;0.98;1000.0;500.0;LINEAR;1631840690331;SWAP;1000;100.0;NEAREST_N
9 10 8 1 2 11 13 6 4 3 5 12 7 0 9;4190;instances/burma14.tsp;2021-09-16 22:05:00.598982;0.98;1000.0;500.0;LINEAR;1631840700543;SWAP;1000;100.0;DETERMINISTIC
12 5 1 0 9 7 8 10 2 3 4 6 11 13 12;4553;instances/burma14.tsp;2021-09-16 22:05:02.400176;0.98;1000.0;500.0;LINEAR;1631840702346;SWAP;1000;100.0;DETERMINISTIC
